Author,Year,Data Source,Pesticide,Pesttype,Duration,Concentration,Kingdom,Phylum,Class,Order,Family,Genus,Species,Original Species Provided,Core,Control,Treatment,Percent Change,Log2fold.change,All.Logs,result,Type,Sig,Extra Information About Effect Size,,,
Motta et al ,2020a,Fig. S4L,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,,N,0.003712105,971.2740198,261649.4698748820,,17.99728132,Increase,Noncomp,Yes,Week 3,,,
Motta et al ,2020a,Fig. S6I,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.0010%,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,N,0.075485337,2324.942485,30798.9221176011,,14.91063908,Increase,Noncomp,Yes,Week 3,,,
Motta et al ,2020a,Fig. S4K,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Fructobacillus,,,N,0.00354543,19.26496445,5432.7460531877,,12.40773143,Increase,Noncomp,Yes,Week 4,,,
Motta et al ,2020a,Fig. S6I,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,N,0.075485337,373.6965462,4949.5846231124,,12.27338319,Increase,Noncomp,Yes,Week 3,,,
Motta et al ,2020a,Fig. S4H,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,0.129526774,460.1732277,3551.7266826244,,11.79471099,Increase,Noncomp,Yes,Week 7,,,
Motta et al ,2020a,Fig. S6F,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.10%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,515.5018353,270180.9201,523.1124309112,,9.033732517,Increase,Noncomp,Yes,Week 7,,,
Motta et al ,2020a,Fig. S6I,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,N,0.075485337,39.39307177,520.8638956603,,9.027529785,Increase,Noncomp,Yes,Week 3,,,
Motta et al ,2020a,Fig. S6F,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.0010%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,515.5018353,252858.5818,489.5095666007,,8.938137464,Increase,Noncomp,Yes,Week 7,,,
Motta et al ,2020a,Fig. S6I,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.0010%,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,N,0.075485337,22.44631422,296.3599278743,,8.216066433,Increase,Noncomp,Yes,Week 3,,,
Motta et al ,2020a,Fig. S4K,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Fructobacillus,,,N,43.8918722,11647.29742,264.3634223671,,8.051825713,Increase,Noncomp,Yes,Week 3,,,
Motta et al ,2020a,Fig. S6F,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.10%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,515.5018353,14637.52419,27.3947082055,,4.827550181,Increase,Noncomp,Yes,Week 7,,,
Motta et al ,2020a,Fig. S6C,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,37436.775,886429.0475,22.6780290875,,4.565477094,Increase,Noncomp,Yes,Week 1,,,
Motta et al ,2020a,Fig. S6F,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.0010%,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,515.5018353,11998.76895,22.2758995793,,4.540765022,Increase,Noncomp,Yes,Week 7,,,
Motta et al ,2020a,Fig. S6C,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,37436.775,870543.698,22.2537043552,,4.539388653,Increase,Noncomp,Yes,Week 1,,,
Zhu et al ,2020,Fig. 2C,Nitenpyram,Insecticide,14 days,300 µg/kg,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,0.509164969,11.13374067,20.8666666667,,4.450661409,Increase,Comp,Yes,,,,
Motta et al ,2020a,Fig. S6C,Roundup,Herbicide formulation,2 treatments at 0 and 2 weeks in water,0.0010%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,37436.775,809798.4914,20.6310964627,,4.435034891,Increase,Noncomp,Yes,Week 1,,,
Motta et al ,2020a,Fig. S4I,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,4993.587893,94665.22603,17.9573565241,,4.244685899,Increase,Noncomp,Yes,Week 7,,,
Motta et al ,2020a,Fig. S6C,Roundup,Herbicide formulation,1 treatment at 0 week in syrup,0.0010%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,37436.775,553930.7792,13.7964342307,,3.88717764,Increase,Noncomp,Yes,Week 1,,,
DeGrandi Hoffman et al,2017,Text,Pristine,Fungicide,21 days,"11,410 ppb",Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,0.6,6.6,10.0000000000,,3.459431619,Increase,Comp,Yes,,,,
DeGrandi Hoffman et al,2017,Text,Pristine,Fungicide,21 days,"11,410 ppb",Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,1.6,13.7,7.5625000000,,3.098032083,Increase,Comp,Yes,,,,
Jones et al ,2018,Table S2,Thiamethoxam,Insecticide,"No exact time provided, ~44 days",Hives placed adjacent to crops with OSR,Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidaceae,Apibacter,Apibacter adventoris,,N,,,,2.94,2.936895362,Increase,Comp,Yes,,,,
Motta et al ,2020a,Fig. S4F,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,Lactobacillus helsingborgensis,Y,44872.95219,335970.838,6.4871569973,,2.904418006,Increase,Noncomp,Yes,Week 0 ,,,
Motta et al ,2020b,Fig. S2E,Glyphosate,Herbicide,15 days,1.0mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,703936.7395,4804125.563,5.8246552464,,2.770756169,Increase,Noncomp,Yes,Early exposure,,,
Motta et al ,2020a,Fig. S4C,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,Lactobacillus mellifer,Y,1899.965192,10577.6756,4.5672996787,,2.476977743,Increase,Noncomp,Yes,Week 0 ,,,
Motta et al ,2020b,Fig. S2E,Glyphosate,Herbicide,15 days,0.07mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,703936.7395,3312679.134,3.7059330025,,2.234480781,Increase,Noncomp,Yes,Early exposure,,,
Motta et al ,2020b,Fig. S1D,Glyphosate,Herbicide,20 days,1.0mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,1.257763975,5.093167702,3.0493827160,,2.017702002,Increase,Comp,Yes,Early exposure,,,
Motta et al ,2020b,Fig. S2C,Glyphosate,Herbicide,5 days,0.07mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,239418.347,950226.3099,2.9688951241,,1.98873744,Increase,Noncomp,Yes,Early exposure,,,
Motta et al ,2020a,Fig. S4A,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,77159.14159,297148.1105,2.8511070023,,1.945273209,Increase,Noncomp,Yes,Week 0 ,,,
Motta et al ,2020b,Fig. S1F,Glyphosate,Herbicide,15 days,0.07mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,6.088560886,22.80442804,2.7454545455,,1.905140814,Increase,Comp,Yes,Early exposure,,,
Zhu et al ,2020,Fig. 2C,Nitenpyram,Insecticide,14 days,300 µg/kg,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,0.27155465,0.984385608,2.6250000000,,1.857980995,Increase,Comp,Yes,,,,
Motta et al ,2020b,Fig. S1D,Glyphosate,Herbicide,5 days,0.07mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,0.434782609,1.49068323,2.4285714286,,1.777607579,Increase,Comp,Yes,Early exposure,,,
Motta et al ,2020b,Fig. S1F,Glyphosate,Herbicide,15 days,1.0mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,6.088560886,19.15129151,2.1454545455,,1.653268514,Increase,Comp,Yes,Early exposure,,,
Motta et al ,2020b,Fig. S1O,Glyphosate,Herbicide,10 days,1.0mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,5.113500597,14.67144564,1.8691588785,,1.520627859,Increase,Comp,Yes,Late exposure,,,
Motta et al ,2020b,Fig. S1M,Glyphosate,Herbicide,15 days,0.1mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,1.583876221,4.271172638,1.6966580977,,1.431172618,Increase,Comp,Yes,Late exposure,,,
Motta et al ,2020a,Fig. S4E,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,Lactobacillus apis,Y,326801.0302,844200.4495,1.5832245664,,1.369173066,Increase,Noncomp,Yes,Week 0 ,,,
Motta et al ,2020b,Fig. S1F,Glyphosate,Herbicide,15 days,0.04mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,,,N,6.088560886,15.16605166,1.4909090909,,1.316672369,Increase,Comp,Yes,Early exposure,,,
Motta et al ,2020a,Fig. S4D,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,1984168.511,4635681.315,1.3363344846,,1.224246834,Increase,Noncomp,Yes,Week 0 ,,,
Motta et al ,2020b,Fig. S1G,Glyphosate,Herbicide,15 days,1.0mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,4.050235479,8.85400314,1.1860465116,,1.128324097,Increase,Comp,Yes,Early exposure,,,
Jones et al ,2018,Table S2,Thiamethoxam,Insecticide,"No exact time provided, ~44 days",Hives placed adjacent to crops with OSR,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,,N,,,,1.10,1.098732518,Increase,Comp,Yes,,,,
Zhu et al ,2020,Fig. 2C,Nitenpyram,Insecticide,14 days,300 µg/kg,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,6.245756959,12.89884589,1.0652173913,,1.046293652,Increase,Comp,Yes,,,,
Motta et al ,2018,Fig. S1,Glyphosate,Herbicide,5 days,5 mg/L,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,0.070080863,0.140161725,1.0000000000,,1,Increase,Comp,Yes,Day 3,,,
Blot et al ,2019,Fig. 1,Glyphosate,Herbicide,15 days,7.5 mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,,,,0.9935,0.9935,Increase,Noncomp,Yes,summer,,,
Motta et al ,2020b,Fig. S2J,Glyphosate,Herbicide,5 days,1.0mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,10198067.63,19711465.29,0.9328627753,,0.950739216,Increase,Noncomp,Yes,Late exposure,,,
Rouze et al ,2019,Fig. 2F,Thiamethoxam,Insecticide,18 days,1.7 µg/kg,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,,,,0.9419,0.9419,Increase,Noncomp,Yes,winter,,,
Jones et al ,2018,Table S2,Thiamethoxam,Insecticide,"No exact time provided, ~44 days",Hives placed adjacent to crops with OSR,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Alpha_2.1,,,N,,,,0.90,0.896857077,Increase,Comp,Yes,,,,
Motta et al ,2020b,Fig. S1G,Glyphosate,Herbicide,15 days,0.1mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,4.050235479,7.15855573,0.7674418605,,0.821662759,Increase,Comp,Yes,Early exposure,,,
Motta et al ,2020b,Fig. S1G,Glyphosate,Herbicide,10 days,0.1mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,4.803767661,8.288854003,0.7254901961,,0.787006277,Increase,Comp,Yes,Early exposure,,,
Motta et al ,2020b,Fig. S1G,Glyphosate,Herbicide,10 days,1.0mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,4.803767661,8.288854003,0.7254901961,,0.787006277,Increase,Comp,Yes,Early exposure,,,
Motta et al ,2020a,Fig. S1C,Roundup,Herbicide formulation,5 days,1 mM ,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,31.98340911,50,0.5633105221,,0.644604371,Increase,Comp,Yes,,,,
Motta et al ,2020a,Fig. S1C,Glyphosate,Herbicide,5 days,1 mM ,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,31.98340911,49.20612094,0.5384889322,,0.621514065,Increase,Comp,Yes,,,,
Rouze et al ,2019,Fig. 2F,Fipronil,Insecticide,15 days,1 µg/kg,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,,,,0.5809,0.5809,Increase,Noncomp,Yes,winter,,,
Motta et al ,2018,Fig. S6,Glyphosate,Herbicide,5 days,5 mg/L,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,25354330.71,37637795.28,0.4844720497,,0.56994993,Increase,Noncomp,Yes,Day 0,,,
Motta et al ,2020b,Fig. S1C,Glyphosate,Herbicide,20 days,1.0mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,34.49920509,50.23847377,0.4562211982,,0.542229516,Increase,Comp,Yes,Early exposure,,,
Motta et al ,2018,Fig. S3A,Glyphosate,Herbicide,"Feeding (5 µL), then two days, then fed again, then sampled after another two days",1 mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 4,,Y,5.39,7.71,0.4304267161,,0.516445587,Increase,Comp,Yes,,,,
Rouze et al ,2019,Fig. 2H,Fipronil,Insecticide,15 days,1 µg/kg,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,,,,0.5124,0.5124,Increase,Noncomp,Yes,winter,,,
Kakumanu et al,2016,Fig. 2,Coumaphos,Insecticide,6 weeks,,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,,,,,Y,12.61,17.33,0.3743061063,,0.458703379,Increase,Comp,Yes,,,,
Motta et al ,2020b,Fig. S1C,Glyphosate,Herbicide,10 days,1.0mM,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,41.3354531,47.53577107,0.1500000000,,0.201633861,Increase,Comp,Yes,Early exposure,,,
Botina et al ,2019,Fig. 5C,Spinosad,Insecticide,24 hours,0.81 µg a.i./mL,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,6.99,7.315,0.0464949928,,0.065565409,Increase,Comp,Yes,differential abundance,,,
Rouze et al ,2019,Fig. 2A,Thiamethoxam,Insecticide,18 days,1.7 µg/kg,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,,N,,,,-0.3051,-0.3051,Decrease,Noncomp,Yes,winter,,,
Rouze et al ,2019,Fig. 2D,Thiamethoxam,Insecticide,18 days,1.7 µg/kg,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,,,,-0.4364,-0.4364,Decrease,Noncomp,Yes,winter,,,
Rouze et al ,2019,Fig. 2D,Imidacloprid,Insecticide,18 days,3.5 µg/kg,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,,,,-0.4619,-0.4619,Decrease,Noncomp,Yes,winter,,,
Rouze et al ,2019,Fig. 2C,Imidacloprid,Insecticide,18 days,3.5 µg/kg,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,Y,,,,-0.5,-0.5,Decrease,Noncomp,Yes,winter,,,
Rouze et al ,2019,Fig. 2D,Fipronil,Insecticide,18 days,0.25 µg/kg,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,,,,-0.5127,-0.5127,Decrease,Noncomp,Yes,winter,,,
Rouze et al ,2019,Fig. 2C,Coumaphos,Insecticide,18 days,650 µg/kg,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,Y,,,,-0.5445,-0.5445,Decrease,Noncomp,Yes,winter,,,
Rouze et al ,2019,Fig. 2D,Coumaphos,Insecticide,18 days,650 µg/kg,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,,,,-0.5572,-0.5572,Decrease,Noncomp,Yes,winter,,,
Rouze et al ,2019,Fig. 2C,Fipronil,Insecticide,18 days,0.25 µg/kg,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,Y,,,,-0.5699,-0.5699,Decrease,Noncomp,Yes,winter,,,
Motta et al ,2020a,Fig. 2G,Roundup,Herbicide formulation,3 days,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,19406623.51,13006865.12,-0.3297718628,,-0.57727584,Decrease,Noncomp,Yes,Day 5 post exposure,,,
Motta et al ,2020a,Fig. 1E,Roundup,Herbicide formulation,5 days,1 mM ,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,3362877.455,2222390.402,-0.3391402357,,-0.597583933,Decrease,Noncomp,Yes,,,,
Motta et al ,2020a,Fig. 2E,Roundup,Herbicide formulation,3 days,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,8750318.331,5773057.13,-0.3402460446,,-0.6,Decrease,Noncomp,Yes,Day 3 post exposure,,,
Rouze et al ,2019,Fig. 2B,Coumaphos,Insecticide,18 days,650 µg/kg,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,,,,-0.6102,-0.6102,Decrease,Noncomp,Yes,winter,,,
Rouze et al ,2019,Fig. 2B,Fipronil,Insecticide,18 days,0.25 µg/kg,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,,,,-0.6102,-0.6102,Decrease,Noncomp,Yes,winter,,,
Motta et al ,2020a,Fig. S4D,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,15792174.47,10146114.15,-0.3575226664,,-0.638282538,Decrease,Noncomp,Yes,Week 7,,,
Rouze et al ,2019,Fig. 2D,Coumaphos,Insecticide,18 days,650 µg/kg,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,,,,-0.7797,-0.7797,Decrease,Noncomp,Yes,summer,,,
Rouze et al ,2019,Fig. 2C,Thiamethoxam,Insecticide,18 days,1.7 µg/kg,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,Y,,,,-0.7797,-0.7797,Decrease,Noncomp,Yes,winter,,,
Rouze et al ,2019,Fig. 2D,Imidacloprid,Insecticide,18 days,3.5 µg/kg,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,,,,-0.7988,-0.7988,Decrease,Noncomp,Yes,summer,,,
Motta et al ,2020a,Fig. 2E,Roundup,Herbicide formulation,3 days,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,17321844.86,9796717.678,-0.4344298916,,-0.822222222,Decrease,Noncomp,Yes,Day 5 post exposure,,,
Rouze et al ,2019,Fig. 2C,Imidacloprid,Insecticide,18 days,3.5 µg/kg,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,Y,,,,-0.8242,-0.8242,Decrease,Noncomp,Yes,summer,,,
Motta et al ,2020b,Fig. S1A,Glyphosate,Herbicide,5 days,0.04mM,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,10.45101089,5.785381026,-0.4464285714,,-0.853158612,Decrease,Comp,Yes,Early exposure,,,
Rouze et al ,2019,Fig. 2D,Thiamethoxam,Insecticide,18 days,1.7 µg/kg,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,,Y,,,,-0.8814,-0.8814,Decrease,Noncomp,Yes,summer,,,
Motta et al ,2020a,Fig. S4E,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus Firm 5,Lactobacillus apis,Y,1866552.345,986309.3419,-0.4715876334,,-0.920263864,Decrease,Noncomp,Yes,Week 7,,,
Motta et al ,2020a,Fig. S4K,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Fructobacillus,,,N,3885.11585,2047.662034,-0.4729469819,,-0.92398,Decrease,Noncomp,Yes,Week 0 ,,,
Motta et al ,2018,Fig. S11,Glyphosate,Herbicide,5 days,10 mg/L,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,2677824.268,1366806.137,-0.4895833333,,-0.970252657,Decrease,Noncomp,Yes,Day 0,,,
Motta et al ,2020a,Fig. S4G,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,,,Y,10929404.29,5544465.036,-0.4927019909,,-0.979094596,Decrease,Noncomp,Yes,Week 7,,,
Rouze et al ,2019,Fig. 2C,Thiamethoxam,Insecticide,18 days,1.7 µg/kg,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,Y,,,,-0.9831,-0.9831,Decrease,Noncomp,Yes,summer,,,
Motta et al ,2020b,Fig. S1A,Glyphosate,Herbicide,15 days,0.04mM,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,14.30793157,7.216174184,-0.4956521739,,-0.987509056,Decrease,Comp,Yes,Early exposure,,,
Blot et al ,2019,Fig. 1,Glyphosate,Herbicide,15 days,1.5 mM,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,,,,-1,-1,Decrease,Noncomp,Yes,summer,,,
Motta et al ,2020a,Fig. 3D,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,3535270.252,1767371.501,-0.5000745699,,-1.000215179,Decrease,Noncomp,Yes,Week 7,,,
Kakumanu et al,2016,Fig. 2,Chlorothalonil,Fungicide,6 weeks,10 ppb,Bacteria,Firmicutes,Bacilli,Lactobacillales,,,,,Y,41.21,19.59,-0.5246299442,,-1.072877066,Decrease,Comp,Yes,,,,
Motta et al ,2020b,Fig. S1J,Glyphosate,Herbicide,5 days,0.04mM,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,10.46931408,4.76534296,-0.5448275862,,-1.135514971,Decrease,Comp,Yes,Late exposure,,,
Motta et al ,2020a,Fig. 3D,Roundup,Herbicide formulation,4 weeks,0.10%,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,5253839.165,2364177.706,-0.5500095013,,-1.152033555,Decrease,Noncomp,Yes,Week 4,,,
Motta et al ,2020b,Fig. S1A,Glyphosate,Herbicide,5 days,0.07mM,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,10.45101089,4.66562986,-0.5535714286,,-1.163498732,Decrease,Comp,Yes,Early exposure,,,
Motta et al ,2018,Fig. S13,Glyphosate,Herbicide,5 days,10 mg/L,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,6889818.689,3040446.304,-0.5587044534,,-1.180182907,Decrease,Noncomp,Yes,Day 3,,,
Motta et al ,2020b,Fig. S1A,Glyphosate,Herbicide,5 days,0.1mM,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,10.45101089,4.603421462,-0.5595238095,,-1.182864057,Decrease,Comp,Yes,Early exposure,,,
Motta et al ,2020a,Fig. 2F,Roundup,Herbicide formulation,3 days,0.10%,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,4893596.135,2091882.301,-0.5725265749,,-1.226093361,Decrease,Noncomp,Yes,Day 5 post exposure,,,
